sourceFile,trackName,region,distanceKm,ascentM,qualityScore,duplicateHint,bestRouteId,bestRouteName,matchScore,confidence,nearestDistanceKm,matchReasons,secondRouteId,secondRouteName,secondScore,suggestedAction,sourceAuthor,sourceLicense,reviewNotes
import-tools/raw/11.2龙门-般若苑-涌泉寺-鼓山古道.kml,11.2 龙门-般若苑-涌泉寺-鼓山古道,晋安区,8.96,564,95,,FZ003,晋安 鼓山登山道-涌泉寺登山线,78,高,1.74,轨迹距路线点约1.7km；名称命中：鼓山、涌泉寺；区域一致；距离接近；爬升接近,FZ005,晋安 鼓山白云洞-凤池白云洞登山线,70,建议关联到现有路线，进入授权和实地复核,刘家有两千金,待确认,海拔低值可能有噪声；起终点名称与坐标需人工复核。
import-tools/raw/138·福清福川古道-福建榕树王-台岭村-西溪水库-福川古道圈越.kml,2025-11-25 12:16福州福清市,福清市,14.9,646,100,,FZ006,晋安 鼓山-鼓岭古道穿越,33,不建议关联,35.25,名称命中：古道；距离接近,FZ023,福清 石竹山登山道,18,建议新建候选路线或暂不关联,wuli自在行走的花,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-09-26仁洲村三叠井徒步圈越.kml,2025-09-26 仁洲村三叠井徒步圈越,福州周边,12.26,992,80,,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,13,不建议关联,29.34,距离接近；爬升接近,FZ006,晋安 鼓山-鼓岭古道穿越,13,建议新建候选路线或暂不关联,郑在爬,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-10-02状元岭小圈越，状元岭古道～状元坊～象峰古道！.kml,2025-10-02 状元岭小圈越，状元岭古道～状元坊～象峰古道！,晋安区,6.75,679,100,,FZ031,晋安 状元岭古道-小北岭古道环线,94,高,0.14,路线点落在轨迹范围内；名称命中：状元岭、象峰；区域一致；距离可参考；爬升接近,FZ006,晋安 鼓山-鼓岭古道穿越,44,建议关联到现有路线，进入授权和实地复核,仰望星空3539,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-10-1209_17莆田瑞云山.kml,2025-10-12 09:17莆田瑞云山,福州周边,7.46,688,70,,FZ021,永泰 青云山瀑布步道,29,不建议关联,4.44,轨迹距路线点约4.4km；距离接近；爬升接近,FZ003,晋安 鼓山登山道-涌泉寺登山线,13,跨区参考，不建议挂到现有福州线路,海狼王,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-10-12芦际潭森林公园圈越.kml,2025-10-12 芦际潭森林公园圈越,福州周边,10.87,628,80,,FZ016,长乐 猴屿洞天岩步道,30,不建议关联,4.91,轨迹距路线点约4.9km；区域一致；距离可参考,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,13,建议新建候选路线或暂不关联,山痴踏岳。,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-11-2211_45五虎山圈越.kml,2025-11-22 11:45五虎山圈越,闽侯县,13.78,989,85,,FZ009,闽侯 五虎山-龙祥岛-旗山湖组合线,47,低,10.27,同大区域但相距约10.3km；名称命中：五虎山；区域一致；距离接近,FZ008,闽侯 五虎山-五灵岩寺往返,41,可能只是邻近路线，建议先放候选池,冰鳍,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-11-23贡院岭古道～鹅鼻岭～泉头古道！ (1).kml,2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！,福州周边,10.89,955,80,保留优先,FZ031,晋安 状元岭古道-小北岭古道环线,90,高,0.54,轨迹距路线点约0.5km；名称命中：贡院岭、鹅鼻岭、泉头；距离接近,FZ006,晋安 鼓山-鼓岭古道穿越,40,建议关联到现有路线，进入授权和实地复核,仰望星空3539,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-11-23贡院岭古道～鹅鼻岭～泉头古道！.kml,2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！,福州周边,10.89,955,80,疑似重复，建议与 2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！ 合并比较,FZ031,晋安 状元岭古道-小北岭古道环线,90,高,0.54,轨迹距路线点约0.5km；名称命中：贡院岭、鹅鼻岭、泉头；距离接近,FZ006,晋安 鼓山-鼓岭古道穿越,40,先合并重复轨迹，再决定是否关联,仰望星空3539,待确认,需人工复核起终点、停车、开放状态和风险点。
import-tools/raw/2025-11-2712_19福州白云洞至鼓山.kml,2025-11-2712_19福州白云洞至鼓山,晋安区,10.72,1002,95,,FZ005,晋安 鼓山白云洞-凤池白云洞登山线,83,高,0.55,轨迹距路线点约0.5km；名称命中：鼓山、白云洞；区域一致；距离接近,FZ003,晋安 鼓山登山道-涌泉寺登山线,73,建议关联到现有路线，进入授权和实地复核,,待确认,需人工复核起终点、停车、开放状态和风险点。
