route_id,route_name,match_status,confidence,candidate_title,candidate_url,distance_km,ascent_m,start_end_or_points,source_note,review_note
FZ001,鼓楼 福道精华步道,found,高,2025-10-12 福州鼓楼区福道（往返）,https://www.2bulu.com/track/t-E%252B%252Bwl2RHFMLp%252FR2KBg5Tzw%253D%253D.htm,,,福道7号入口 -> 福道7号入口；20个标注点,公开搜索结果,福道往返轨迹；可作为备选
FZ001,鼓楼 福道精华步道,found,高,2026-02-24 福州福道,https://www.2bulu.com/track/t-TDZBNM1XVo7p%252FR2KBg5Tzw%253D%253D.htm,,159.35,福道5号入口 -> 福道3号入口；21个标注点,公开搜索结果,名称和福道入口高度吻合；优先复核
FZ001,鼓楼 福道精华步道,found,中,2025-05-04 福州鼓楼区 福道 左海公园到把白夜公园,https://www.2bulu.com/track/t-ine8f8dCdNbp%252FR2KBg5Tzw%253D%253D.htm,9.72,275,星光灿烂舞蹈中心 -> 福道6号入口；8个标注点,公开页面,覆盖福道和左海方向；终点名称需人工核对
FZ002,鼓楼 福山-福道-冶山城市山线,found,低,文林山～福道～郊野公园～五凤公园2024-04-21福州鼓楼区,https://www.2bulu.com/track/t-mzFtXQSu0zTp%252FR2KBg5Tzw%253D%253D.htm,11.75,215,凤凰池社区居委会 -> 土伯祖传捞化；52个标注点,公开页面,包含福道但未命中福山或冶山；仅作弱候选
FZ003,晋安 鼓山登山道-涌泉寺登山线,found,高,2025-11-22 08:45福州晋安区鼓山-勇敢者登山道-涌泉寺,https://www.2bulu.com/track/t-RrWMTuB29PXp%252FR2KBg5Tzw%253D%253D.htm,,,天亭 -> 鼓岭中队交警岗亭；4个标注点,公开搜索结果,名称直接命中鼓山登山道和涌泉寺
FZ003,晋安 鼓山登山道-涌泉寺登山线,found,中,2024-10-26 09:04 樟林古道-西来院-涌泉寺-下院,https://app.2bulu.com/track/t-2%252Fhazk8onmjp%252FR2KBg5Tzw%253D%253D.htm,,,福州大米厂 -> 鼓山风景区索道下站；0个标注点,公开搜索结果,到达涌泉寺但线路偏穿越；备选
FZ003,晋安 鼓山登山道-涌泉寺登山线,found,中,积翠庵到般若庵到涌泉寺,https://www.2bulu.com/track/t-llmsHZ%252FrKnc%253D.htm,,925,埠兴新苑 -> 鼓山十八景公园；0个标注点,公开搜索结果,鼓山区域到涌泉寺；年份较早
FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,found,中,2025-10-06 05:55福州白云洞-涌泉寺-鼓山十八景,https://www.2bulu.com/track/t-AejxiyzfmgXp%252FR2KBg5Tzw%253D%253D.htm,,,埠兴新苑 -> 达摩洞十八景停车场；36个标注点,公开搜索结果,命中鼓山十八景；未明确喝水岩和白云顶
FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,found,中,福州白云洞鼓山路线,https://www.2bulu.com/track/t-eFJvCREuRJXp%252FR2KBg5Tzw%253D%253D.htm,10.67,850,,公开搜索结果,命中白云洞/鼓山；可能覆盖白云顶方向，需看轨迹图
FZ005,晋安 鼓山白云洞-凤池白云洞登山线,found,高,福州白云洞鼓山路线,https://www.2bulu.com/track/t-eFJvCREuRJXp%252FR2KBg5Tzw%253D%253D.htm,10.67,850,,公开搜索结果,名称直接命中白云洞和鼓山
FZ005,晋安 鼓山白云洞-凤池白云洞登山线,found,中,2025-10-06 05:55福州白云洞-涌泉寺-鼓山十八景,https://www.2bulu.com/track/t-AejxiyzfmgXp%252FR2KBg5Tzw%253D%253D.htm,,,埠兴新苑 -> 达摩洞十八景停车场；36个标注点,公开搜索结果,可作为白云洞串联十八景备选
FZ006,晋安 鼓山-鼓岭古道穿越,found,中,鼓岭古道。牛头寨。柱里公园，鼓山穿越,https://www.2bulu.com/track/t-7w3BhZfcRtE%253D.htm,23.81,3070,鳝溪风景区 -> 鼓山摩崖石刻；1个标注点,公开页面,鼓岭到鼓山穿越；爬升数据疑似偏高，需复核
