import_route_id,proposed_safe_id,route_name,region,difficulty,route_distance_km,route_ascent_m,track_file,track_file_name,track_name,platform,author,source_track_id,license_status,track_distance_km,track_ascent_m,duration_hours,point_count,start_name,end_name,is_loop,quality_score,match_status,match_confidence,match_method,id_status,review_note
FZ031,FZ033,11.2 龙门-般若苑-涌泉寺-鼓山古道,晋安区,中等,8.96,564,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/11.2龙门-般若苑-涌泉寺-鼓山古道.kml,11.2龙门-般若苑-涌泉寺-鼓山古道.kml,11.2 龙门-般若苑-涌泉寺-鼓山古道,两步路,刘家有两千金,55470877,待确认,8.96,564,3.27,11061,快安派出所龙门村治安岗,鼓山旅游景区缆车,否,95,已匹配,高,名称精确匹配,原始ID冲突：现有《晋安 状元岭古道-小北岭古道环线》；建议整批顺延,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ032,FZ034,2025-11-25 12:16福州福清市,福清市,较难,14.9,646,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/138·福清福川古道-福建榕树王-台岭村-西溪水库-福川古道圈越.kml,138·福清福川古道-福建榕树王-台岭村-西溪水库-福川古道圈越.kml,2025-11-25 12:16福州福清市,两步路,wuli自在行走的花,23969380,待确认,14.9,646,5.06,1360,福州市福清市,福州市福清市,是,100,已匹配,高,名称精确匹配,原始ID冲突：现有《平潭 大练岛环线》；建议整批顺延,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ033,FZ035,2025-09-26 仁洲村三叠井徒步圈越,福州周边,较难,12.26,992,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-09-26仁洲村三叠井徒步圈越.kml,2025-09-26仁洲村三叠井徒步圈越.kml,2025-09-26 仁洲村三叠井徒步圈越,KML,郑在爬,61903114,待确认,12.26,992,6.54,1146,仁洲村委(公交站),仁洲村委(公交站),是,80,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ034,FZ036,2025-10-02 状元岭小圈越，状元岭古道～状元坊～象峰古道！,晋安区,中等,6.75,679,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-10-02状元岭小圈越，状元岭古道～状元坊～象峰古道！.kml,2025-10-02状元岭小圈越，状元岭古道～状元坊～象峰古道！.kml,2025-10-02 状元岭小圈越，状元岭古道～状元坊～象峰古道！,KML,仰望星空3539,61739907,待确认,6.75,679,1.93,630,天母殿,闾山大法院,是,100,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ035,FZ037,2025-10-06 05:55福州白云洞-涌泉寺-鼓山十八景,晋安区,较难,8.16,877,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-10-0605_55福州白云洞-涌泉寺-鼓山十八景.kml,2025-10-0605_55福州白云洞-涌泉寺-鼓山十八景.kml,2025-10-06 05:55福州白云洞-涌泉寺-鼓山十八景,两步路,乾步步,13635250,待确认,8.16,877,4.63,761,埠兴新苑,达摩洞十八景停车场,否,100,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ036,FZ038,2025-10-12 07:48福州鼓楼区福道（往返）,福州周边,中等,8.65,380,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-10-1207_48福州鼓楼区福道（往返）.kml,2025-10-1207_48福州鼓楼区福道（往返）.kml,2025-10-12 07:48福州鼓楼区福道（往返）,两步路,华哥888999,27248511,待确认,8.65,380,2.53,793,福道(7号入口),福道(7号入口),是,80,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ037,FZ039,2025-10-12 芦际潭森林公园圈越,福州周边,中等,10.87,628,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-10-12芦际潭森林公园圈越.kml,2025-10-12芦际潭森林公园圈越.kml,2025-10-12 芦际潭森林公园圈越,两步路,山痴踏岳。,63019757,待确认,10.87,628,4.39,1131,芦际潭森林公园停车点,福州市长乐区,否,80,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ038,FZ040,2025-10-18 08:42福州晋安区,福州周边,较难,9.39,1089,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-10-1808_42鼓岭古道-映月湖公园-万国公益社-柱里-柯坪水库-花溪谷-柳杉王公园.kml,2025-10-1808_42鼓岭古道-映月湖公园-万国公益社-柱里-柯坪水库-花溪谷-柳杉王公园.kml,2025-10-18 08:42福州晋安区,两步路,新橙,44612909,待确认,9.39,1089,6.64,1058,福道小筑农庄,鼓岭历史文化展示馆,否,80,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ039,FZ041,2025-11-22 08:45福州晋安区鼓山-勇敢者登山道-涌泉寺,晋安区,中等,5.15,630,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-11-2208_45福州晋安区鼓山-勇敢者登山道-涌泉寺.kml,2025-11-2208_45福州晋安区鼓山-勇敢者登山道-涌泉寺.kml,2025-11-22 08:45福州晋安区鼓山-勇敢者登山道-涌泉寺,两步路,乾步步,13635250,待确认,5.15,630,2.18,488,天亭,鼓岭中队交警岗亭,否,100,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ040,FZ042,2025-11-22 11:45五虎山圈越,闽侯县,较难,13.78,989,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-11-2211_45五虎山圈越.kml,2025-11-2211_45五虎山圈越.kml,2025-11-22 11:45五虎山圈越,两步路,冰鳍,44351043,待确认,13.78,989,5.65,1225,五虎山国家森林公园游客驿站,五虎山国家森林公园游客驿站,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ041,FZ043,2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！,福州周边,较难,10.89,955,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-11-23贡院岭古道～鹅鼻岭～泉头古道！.kml,2025-11-23贡院岭古道～鹅鼻岭～泉头古道！.kml,2025-11-23 贡院岭古道～鹅鼻岭～泉头古道！,KML,仰望星空3539,61739907,待确认,10.89,955,3.31,1856,福州恒一高级中学(西门),福州恒一高级中学(西门),是,80,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
