id,name,gpxStatus,gpxDownloadable,gpxFile,note
FZ001,"福道精华段",测试轨迹,true,./content/gpx/FZ001.gpx,"V0.4 测试 GPX，仅用于验证下载链路，正式发布前必须替换为实地复核轨迹。"
FZ002,"福山-福道-冶山历史风貌区",测试轨迹,true,./content/gpx/FZ002.gpx,"V0.4 测试 GPX，仅用于验证下载链路，正式发布前必须替换为实地复核轨迹。"
FZ003,"鼓山登山道-涌泉寺",测试轨迹,true,./content/gpx/FZ003.gpx,"V0.4 测试 GPX，仅用于验证下载链路，正式发布前必须替换为实地复核轨迹。"
FZ004,"鼓山-十八景-喝水岩-白云顶",无轨迹,false,,"V0.1内测阶段暂不开放下载，待实地复核和轨迹清洗后更新。"
FZ005,"鼓山白云洞/凤池白云洞线",无轨迹,false,,"V0.1内测阶段暂不开放下载，待实地复核和轨迹清洗后更新。"
FZ006,"鼓山-鼓岭线路",无轨迹,false,,"V0.1内测阶段暂不开放下载，待实地复核和轨迹清洗后更新。"
FZ007,"鼓岭柳杉王公园-鼓岭栈道",无轨迹,false,,"V0.1内测阶段暂不开放下载，待实地复核和轨迹清洗后更新。"
FZ008,"五虎山-五灵岩寺折返",无轨迹,false,,"V0.1内测阶段暂不开放下载，待实地复核和轨迹清洗后更新。"
FZ009,"五虎山-龙祥岛-旗山湖",无轨迹,false,,"V0.1内测阶段暂不开放下载，待实地复核和轨迹清洗后更新。"
FZ010,"旗山-万佛寺-博思软件线路",无轨迹,false,,"V0.1内测阶段暂不开放下载，待实地复核和轨迹清洗后更新。"
