id,name,region,difficulty,publicStatus,routeStatus,reviewLevel,reviewScore,blockers,startPointCheck,endPointCheck,parkingCheck,publicTransitCheck,toiletCheck,supplyCheck,exitPointsCheck,seasonCheck,riskCheck,locationCheck,trackCheck,licenseCheck,nextAction
FZ001,鼓楼 福道精华步道,鼓楼区,轻松,可内测,资料已整理,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ002,鼓楼 福山-福道-冶山城市山线,鼓楼区,轻松,可内测,候选待复核,待补全,58,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,已完成,已完成,补齐阻塞字段后再评估
FZ003,晋安 鼓山登山道-涌泉寺登山线,晋安区,中等,可内测,候选待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,晋安区,较难,待复核,候选待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ005,晋安 鼓山白云洞-凤池白云洞登山线,晋安区,较难,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ006,晋安 鼓山-鼓岭古道穿越,晋安区,较难,待复核,候选待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ007,晋安 鼓岭柳杉王公园-鼓岭栈道步道,晋安区,轻松,可内测,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ008,闽侯 五虎山-五灵岩寺往返,闽侯县,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ009,闽侯 五虎山-龙祥岛-旗山湖组合线,闽侯县,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ010,闽侯 旗山-万佛寺-博思软件园穿越,闽侯县/高新区,中等,待复核,候选待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
FZ011,晋安 金鸡山公园环线,晋安区,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ012,鼓楼 于山-乌山-三坊七巷城市山线,鼓楼区,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ013,鼓楼 西湖-左海-梅峰山城市绿道,鼓楼区,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ014,马尾 罗星塔-船政文化步道,马尾区,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ015,长乐 下沙海岸线,长乐区,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ016,长乐 猴屿洞天岩步道,长乐区,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ017,连江 黄岐古石村海岸线,连江县,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ018,连江 奇达旗冠顶看海线,连江县,中等,可内测,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ019,平潭 北部湾生态廊道,平潭县,轻松,可内测,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ020,永泰 云顶溪谷避暑线,永泰县,较难,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ021,永泰 青云山瀑布步道,永泰县,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ022,永泰 嵩口古镇田园步道,永泰县,轻松,待复核,候选待复核,待补全,50,停车、厕所、补给、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,待复核,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ023,福清 石竹山登山道,福清市,中等,待复核,候选待复核,待补全,58,停车、厕所、下撤点、地图点位,已完成,已完成,待复核,已完成,待复核,已完成,待复核,已完成,已完成,待复核,待复核,已完成,补齐阻塞字段后再评估
FZ024,福清 大姆山草场环线,福清市,中等,待复核,候选待复核,可内测,92,授权,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,已完成,待复核,安排内测复核
