路线ID,候选路线,区域,类型,初步难度,推荐理由,首要复核点,内容状态
FZ001,福道精华段,鼓楼区,城市森林步道,轻松,福州标志性城市步道，适合新手、亲子、游客,入口、开放时间、不同出口交通,候选待复核
FZ002,福山-福道-冶山历史风貌区,鼓楼区,城市山地+人文,轻松,可把城市步道和历史文化串联，适合专题页,实际步行串联方式和耗时,候选待复核
FZ003,鼓山登山道-涌泉寺,晋安区,古道登山,中等,福州经典登山路线，识别度高,台阶强度、节假日人流、返程方式,候选待复核
FZ004,鼓山-十八景-喝水岩-白云顶,晋安区,古道+观景,中等/较难,比普通鼓山线更完整，适合进阶新手,分段距离、爬升、白云顶开放状态,候选待复核
FZ005,鼓山白云洞/凤池白云洞线,晋安区,登山观景,较难,观景和登山属性强，适合进阶用户,台阶数量、路况、是否适合下山,候选待复核
FZ006,鼓山-鼓岭线路,晋安区,古道+避暑,中等/较难,官方十大名山线路之一，兼具人文和避暑,具体起终点、接驳交通、耗时,候选待复核
FZ007,鼓岭柳杉王公园-鼓岭栈道,晋安区,避暑轻徒步,轻松/中等,夏季避暑、亲子和游客都容易理解,景区交通、开放时间、停车,候选待复核
FZ008,五虎山-五灵岩寺折返,闽侯县,郊野登山,中等,官方首发活动路线，山体辨识度高,起点停车、步道状态、折返节点,候选待复核
FZ009,五虎山-龙祥岛-旗山湖,闽侯县,山岛湖串联,中等,官方十大名山线路之一，适合做闽侯专题,串联是否适合步行、交通接驳,候选待复核
FZ010,旗山-万佛寺-博思软件线路,闽侯县/高新区,名山+古刹,中等,官方十大名山线路之一，主题多元,实际徒步段和城市道路占比,候选待复核
FZ011,旗山森林公园轻徒步,闽侯县,森林/溪谷,轻松/中等,适合避暑和亲子方向内容,景区开放状态、门票、溪谷风险,候选待复核
FZ012,飞凤山-海峡奥体中心,仓山区,城市山地,轻松/中等,市区南部轻徒步代表，适合半日线,可走步道入口、停车、夜间安全,候选待复核
FZ013,高盖山生态公园线,仓山区,城市登山,轻松/中等,南台岛中心山体，适合市区用户,入口选择、步道完整度、夜间照明,候选待复核
FZ014,天马山-中国船政文化景区,马尾区,登山+人文,中等,官方十大名山线路之一，适合船政文化专题,山路与景区串联方式,候选待复核
FZ015,石竹山-东关寨-罗汉里,福清市,山地+古堡+红色文化,中等,官方十大名山线路之一，内容层次丰富,点位距离较远，需确认是否适合徒步串联,候选待复核
FZ016,青芝山-贵安旅游度假区,连江县,山地+景区,中等,官方十大名山线路之一，山水洞泉资源丰富,串联交通、景区开放和收费,候选待复核
FZ017,汤岭古道贵安-降虎寨,连江县/贵安周边,古道,中等,近期本地推荐路线，有古道特色,起终点定位、全程路况、岔路,候选待复核
FZ018,连江奇达村-旗冠顶,连江县,山海观景,中等,山海景观强，适合看海和摄影专题,台阶强度、停车、人流、安全护栏,候选待复核
FZ019,长乐西洛岛灯塔线,长乐区,海岛/海岸,轻松/中等,看海、灯塔、日出主题鲜明,潮汐、风浪、上岛路径安全,候选待复核
FZ020,永泰天门山-赤壁-欧乐堡周边线,永泰县,山地/景区串联,中等/较难,官方十大名山线路之一，适合永泰专题,景区间距离、是否适合纯徒步、门票,候选待复核
