id,name,region,difficulty,distance,time,ascent,lat,lng,locationAccuracy,status,updatedAt
FZ001,"福道精华段",鼓楼区,轻松,5.8,2,180,26.095,119.278,近似点位，待复核,资料已整理,2026-06-18
FZ002,"福山-福道-冶山历史风貌区",鼓楼区,轻松,6.2,2.5,160,26.095,119.305,近似点位，待复核,候选待复核,2026-06-18
FZ003,"鼓山登山道-涌泉寺",晋安区,中等,7.5,3.5,520,26.07,119.395,近似点位，待复核,候选待复核,2026-06-18
FZ004,"鼓山-十八景-喝水岩-白云顶",晋安区,较难,11.5,5.5,780,26.083,119.405,近似点位，待复核,候选待复核,2026-06-18
FZ005,"鼓山白云洞/凤池白云洞线",晋安区,较难,9.2,4.5,720,26.08,119.39,近似点位，待复核,候选待复核,2026-06-18
FZ006,"鼓山-鼓岭线路",晋安区,较难,13.5,6,900,26.128,119.43,近似点位，待复核,候选待复核,2026-06-18
FZ007,"鼓岭柳杉王公园-鼓岭栈道",晋安区,轻松,5.6,2.2,180,26.132,119.425,近似点位，待复核,候选待复核,2026-06-18
FZ008,"五虎山-五灵岩寺折返",闽侯县,中等,8.4,4,560,25.94,119.225,近似点位，待复核,候选待复核,2026-06-18
FZ009,"五虎山-龙祥岛-旗山湖",闽侯县,中等,12,5.5,480,25.955,119.205,近似点位，待复核,候选待复核,2026-06-18
FZ010,"旗山-万佛寺-博思软件线路",闽侯县/高新区,中等,10.8,5,620,26.02,119.165,近似点位，待复核,候选待复核,2026-06-18
