id,route_name,region,themes,recommended_query,suggested_visual,source_priority,candidate_rank,candidate_title,candidate_url,candidate_license,candidate_note,commons_search_url,openverse_search_url,bing_image_search_url,contact_author_search_url,usage_status
FZ001,鼓楼 福道精华步道,鼓楼区,城市森林|栈道|亲子,福州 福道精华步道 徒步 风景,优先找栈道、城市天际线、林下步道，真实识别度比纯树林更重要。,Wikimedia/Openverse 城市地标图 > 真实授权照片 > 官方公园/景区授权 > 示意图,1,Fu Forest Trail view.jpg,https://commons.wikimedia.org/wiki/File:Fu_Forest_Trail_view.jpg,CC BY-SA 4.0,福道栈道/城市森林，可用于福道相关线路,https://commons.wikimedia.org/w/index.php?search=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E9%81%93%E7%B2%BE%E5%8D%8E%E6%AD%A5%E9%81%93%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF&title=Special:MediaSearch&type=image,https://openverse.org/search/image?q=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E9%81%93%E7%B2%BE%E5%8D%8E%E6%AD%A5%E9%81%93%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/images/search?q=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E9%81%93%E7%B2%BE%E5%8D%8E%E6%AD%A5%E9%81%93%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/search?q=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E9%81%93%E7%B2%BE%E5%8D%8E%E6%AD%A5%E9%81%93%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF%20%E6%B8%B8%E8%AE%B0%20%E6%91%84%E5%BD%B1%20%E4%BD%9C%E8%80%85%20%E6%8E%88%E6%9D%83,候选线索，未入站；上线前逐张核验授权、署名、地点匹配。
FZ001,鼓楼 福道精华步道,鼓楼区,城市森林|栈道|亲子,福州 福道精华步道 徒步 风景,优先找栈道、城市天际线、林下步道，真实识别度比纯树林更重要。,Wikimedia/Openverse 城市地标图 > 真实授权照片 > 官方公园/景区授权 > 示意图,2,20181221福州福道（梅峰山地公园） 01.jpg,https://commons.wikimedia.org/wiki/File:20181221%E7%A6%8F%E5%B7%9E%E7%A6%8F%E9%81%93%EF%BC%88%E6%A2%85%E5%B3%B0%E5%B1%B1%E5%9C%B0%E5%85%AC%E5%9B%AD%EF%BC%89_01.jpg,CC BY-SA 4.0,福道梅峰山地公园段,https://commons.wikimedia.org/w/index.php?search=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E9%81%93%E7%B2%BE%E5%8D%8E%E6%AD%A5%E9%81%93%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF&title=Special:MediaSearch&type=image,https://openverse.org/search/image?q=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E9%81%93%E7%B2%BE%E5%8D%8E%E6%AD%A5%E9%81%93%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/images/search?q=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E9%81%93%E7%B2%BE%E5%8D%8E%E6%AD%A5%E9%81%93%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/search?q=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E9%81%93%E7%B2%BE%E5%8D%8E%E6%AD%A5%E9%81%93%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF%20%E6%B8%B8%E8%AE%B0%20%E6%91%84%E5%BD%B1%20%E4%BD%9C%E8%80%85%20%E6%8E%88%E6%9D%83,候选线索，未入站；上线前逐张核验授权、署名、地点匹配。
FZ002,鼓楼 福山-福道-冶山城市山线,鼓楼区,城市森林|历史人文,福州 福山-福道-冶山城市山线 徒步 风景,优先找栈道、城市天际线、林下步道，真实识别度比纯树林更重要。,真实授权照片 > Wikimedia Commons 地标/古道图 > 官方文旅授权 > 普通搜索仅作联系作者线索,1,Fu Forest Trail view.jpg,https://commons.wikimedia.org/wiki/File:Fu_Forest_Trail_view.jpg,CC BY-SA 4.0,福道栈道/城市森林，可用于福道相关线路,https://commons.wikimedia.org/w/index.php?search=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E5%B1%B1-%E7%A6%8F%E9%81%93-%E5%86%B6%E5%B1%B1%E5%9F%8E%E5%B8%82%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF&title=Special:MediaSearch&type=image,https://openverse.org/search/image?q=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E5%B1%B1-%E7%A6%8F%E9%81%93-%E5%86%B6%E5%B1%B1%E5%9F%8E%E5%B8%82%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/images/search?q=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E5%B1%B1-%E7%A6%8F%E9%81%93-%E5%86%B6%E5%B1%B1%E5%9F%8E%E5%B8%82%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/search?q=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E5%B1%B1-%E7%A6%8F%E9%81%93-%E5%86%B6%E5%B1%B1%E5%9F%8E%E5%B8%82%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF%20%E6%B8%B8%E8%AE%B0%20%E6%91%84%E5%BD%B1%20%E4%BD%9C%E8%80%85%20%E6%8E%88%E6%9D%83,候选线索，未入站；上线前逐张核验授权、署名、地点匹配。
FZ002,鼓楼 福山-福道-冶山城市山线,鼓楼区,城市森林|历史人文,福州 福山-福道-冶山城市山线 徒步 风景,优先找栈道、城市天际线、林下步道，真实识别度比纯树林更重要。,真实授权照片 > Wikimedia Commons 地标/古道图 > 官方文旅授权 > 普通搜索仅作联系作者线索,2,20181221福州福道（梅峰山地公园） 01.jpg,https://commons.wikimedia.org/wiki/File:20181221%E7%A6%8F%E5%B7%9E%E7%A6%8F%E9%81%93%EF%BC%88%E6%A2%85%E5%B3%B0%E5%B1%B1%E5%9C%B0%E5%85%AC%E5%9B%AD%EF%BC%89_01.jpg,CC BY-SA 4.0,福道梅峰山地公园段,https://commons.wikimedia.org/w/index.php?search=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E5%B1%B1-%E7%A6%8F%E9%81%93-%E5%86%B6%E5%B1%B1%E5%9F%8E%E5%B8%82%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF&title=Special:MediaSearch&type=image,https://openverse.org/search/image?q=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E5%B1%B1-%E7%A6%8F%E9%81%93-%E5%86%B6%E5%B1%B1%E5%9F%8E%E5%B8%82%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/images/search?q=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E5%B1%B1-%E7%A6%8F%E9%81%93-%E5%86%B6%E5%B1%B1%E5%9F%8E%E5%B8%82%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/search?q=%E7%A6%8F%E5%B7%9E%20%E7%A6%8F%E5%B1%B1-%E7%A6%8F%E9%81%93-%E5%86%B6%E5%B1%B1%E5%9F%8E%E5%B8%82%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF%20%E6%B8%B8%E8%AE%B0%20%E6%91%84%E5%BD%B1%20%E4%BD%9C%E8%80%85%20%E6%8E%88%E6%9D%83,候选线索，未入站；上线前逐张核验授权、署名、地点匹配。
FZ003,晋安 鼓山登山道-涌泉寺登山线,晋安区,古道|寺庙|城市观景,福州 鼓山登山道-涌泉寺登山线 徒步 风景,优先找寺庙入口、古道石阶、山林和远眺城市组合图。,真实授权照片 > Wikimedia Commons 地标/古道图 > 官方文旅授权 > 普通搜索仅作联系作者线索,1,从鼓山看福州 - Fuzhou City Viewed from Gushan Mountain,https://commons.wikimedia.org/wiki/File:%E4%BB%8E%E9%BC%93%E5%B1%B1%E7%9C%8B%E7%A6%8F%E5%B7%9E_-_Fuzhou_City_Viewed_from_Gushan_Mountain_-_2010.08_-_panoramio.jpg,需打开页面核验,鼓山俯瞰福州，可用于鼓山观景/穿越线,https://commons.wikimedia.org/w/index.php?search=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1%E7%99%BB%E5%B1%B1%E9%81%93-%E6%B6%8C%E6%B3%89%E5%AF%BA%E7%99%BB%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF&title=Special:MediaSearch&type=image,https://openverse.org/search/image?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1%E7%99%BB%E5%B1%B1%E9%81%93-%E6%B6%8C%E6%B3%89%E5%AF%BA%E7%99%BB%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/images/search?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1%E7%99%BB%E5%B1%B1%E9%81%93-%E6%B6%8C%E6%B3%89%E5%AF%BA%E7%99%BB%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/search?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1%E7%99%BB%E5%B1%B1%E9%81%93-%E6%B6%8C%E6%B3%89%E5%AF%BA%E7%99%BB%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF%20%E6%B8%B8%E8%AE%B0%20%E6%91%84%E5%BD%B1%20%E4%BD%9C%E8%80%85%20%E6%8E%88%E6%9D%83,候选线索，未入站；上线前逐张核验授权、署名、地点匹配。
FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,晋安区,古道|观景|训练,福州 鼓山-十八景-喝水岩-白云顶穿越 徒步 风景,优先找石阶古道、林下路径、古村/古寺节点，避免只用纯山景。,真实授权照片 > Wikimedia Commons 地标/古道图 > 官方文旅授权 > 普通搜索仅作联系作者线索,1,从鼓山看福州 - Fuzhou City Viewed from Gushan Mountain,https://commons.wikimedia.org/wiki/File:%E4%BB%8E%E9%BC%93%E5%B1%B1%E7%9C%8B%E7%A6%8F%E5%B7%9E_-_Fuzhou_City_Viewed_from_Gushan_Mountain_-_2010.08_-_panoramio.jpg,需打开页面核验,鼓山俯瞰福州，可用于鼓山观景/穿越线,https://commons.wikimedia.org/w/index.php?search=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1-%E5%8D%81%E5%85%AB%E6%99%AF-%E5%96%9D%E6%B0%B4%E5%B2%A9-%E7%99%BD%E4%BA%91%E9%A1%B6%E7%A9%BF%E8%B6%8A%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF&title=Special:MediaSearch&type=image,https://openverse.org/search/image?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1-%E5%8D%81%E5%85%AB%E6%99%AF-%E5%96%9D%E6%B0%B4%E5%B2%A9-%E7%99%BD%E4%BA%91%E9%A1%B6%E7%A9%BF%E8%B6%8A%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/images/search?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1-%E5%8D%81%E5%85%AB%E6%99%AF-%E5%96%9D%E6%B0%B4%E5%B2%A9-%E7%99%BD%E4%BA%91%E9%A1%B6%E7%A9%BF%E8%B6%8A%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/search?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1-%E5%8D%81%E5%85%AB%E6%99%AF-%E5%96%9D%E6%B0%B4%E5%B2%A9-%E7%99%BD%E4%BA%91%E9%A1%B6%E7%A9%BF%E8%B6%8A%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF%20%E6%B8%B8%E8%AE%B0%20%E6%91%84%E5%BD%B1%20%E4%BD%9C%E8%80%85%20%E6%8E%88%E6%9D%83,候选线索，未入站；上线前逐张核验授权、署名、地点匹配。
FZ005,晋安 鼓山白云洞-凤池白云洞登山线,晋安区,观景|寺庙|训练,福州 鼓山白云洞-凤池白云洞登山线 徒步 风景,优先找寺庙入口、古道石阶、山林和远眺城市组合图。,真实授权照片 > Wikimedia Commons 地标/古道图 > 官方文旅授权 > 普通搜索仅作联系作者线索,1,从鼓山看福州 - Fuzhou City Viewed from Gushan Mountain,https://commons.wikimedia.org/wiki/File:%E4%BB%8E%E9%BC%93%E5%B1%B1%E7%9C%8B%E7%A6%8F%E5%B7%9E_-_Fuzhou_City_Viewed_from_Gushan_Mountain_-_2010.08_-_panoramio.jpg,需打开页面核验,鼓山俯瞰福州，可用于鼓山观景/穿越线,https://commons.wikimedia.org/w/index.php?search=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1%E7%99%BD%E4%BA%91%E6%B4%9E-%E5%87%A4%E6%B1%A0%E7%99%BD%E4%BA%91%E6%B4%9E%E7%99%BB%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF&title=Special:MediaSearch&type=image,https://openverse.org/search/image?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1%E7%99%BD%E4%BA%91%E6%B4%9E-%E5%87%A4%E6%B1%A0%E7%99%BD%E4%BA%91%E6%B4%9E%E7%99%BB%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/images/search?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1%E7%99%BD%E4%BA%91%E6%B4%9E-%E5%87%A4%E6%B1%A0%E7%99%BD%E4%BA%91%E6%B4%9E%E7%99%BB%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/search?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1%E7%99%BD%E4%BA%91%E6%B4%9E-%E5%87%A4%E6%B1%A0%E7%99%BD%E4%BA%91%E6%B4%9E%E7%99%BB%E5%B1%B1%E7%BA%BF%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF%20%E6%B8%B8%E8%AE%B0%20%E6%91%84%E5%BD%B1%20%E4%BD%9C%E8%80%85%20%E6%8E%88%E6%9D%83,候选线索，未入站；上线前逐张核验授权、署名、地点匹配。
FZ006,晋安 鼓山-鼓岭古道穿越,晋安区,古道|避暑|历史人文,福州 鼓山-鼓岭古道穿越 徒步 风景,优先找石阶古道、林下路径、古村/古寺节点，避免只用纯山景。,真实授权照片 > Wikimedia Commons 地标/古道图 > 官方文旅授权 > 普通搜索仅作联系作者线索,1,从鼓山看福州 - Fuzhou City Viewed from Gushan Mountain,https://commons.wikimedia.org/wiki/File:%E4%BB%8E%E9%BC%93%E5%B1%B1%E7%9C%8B%E7%A6%8F%E5%B7%9E_-_Fuzhou_City_Viewed_from_Gushan_Mountain_-_2010.08_-_panoramio.jpg,需打开页面核验,鼓山俯瞰福州，可用于鼓山观景/穿越线,https://commons.wikimedia.org/w/index.php?search=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1-%E9%BC%93%E5%B2%AD%E5%8F%A4%E9%81%93%E7%A9%BF%E8%B6%8A%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF&title=Special:MediaSearch&type=image,https://openverse.org/search/image?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1-%E9%BC%93%E5%B2%AD%E5%8F%A4%E9%81%93%E7%A9%BF%E8%B6%8A%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/images/search?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1-%E9%BC%93%E5%B2%AD%E5%8F%A4%E9%81%93%E7%A9%BF%E8%B6%8A%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/search?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B1%B1-%E9%BC%93%E5%B2%AD%E5%8F%A4%E9%81%93%E7%A9%BF%E8%B6%8A%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF%20%E6%B8%B8%E8%AE%B0%20%E6%91%84%E5%BD%B1%20%E4%BD%9C%E8%80%85%20%E6%8E%88%E6%9D%83,候选线索，未入站；上线前逐张核验授权、署名、地点匹配。
FZ007,晋安 鼓岭柳杉王公园-鼓岭栈道步道,晋安区,森林|避暑|亲子,福州 鼓岭柳杉王公园-鼓岭栈道步道 徒步 风景,优先找路线地标或能体现实际路况的横图。,Wikimedia/Openverse 城市地标图 > 真实授权照片 > 官方公园/景区授权 > 示意图,,,,,,https://commons.wikimedia.org/w/index.php?search=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B2%AD%E6%9F%B3%E6%9D%89%E7%8E%8B%E5%85%AC%E5%9B%AD-%E9%BC%93%E5%B2%AD%E6%A0%88%E9%81%93%E6%AD%A5%E9%81%93%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF&title=Special:MediaSearch&type=image,https://openverse.org/search/image?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B2%AD%E6%9F%B3%E6%9D%89%E7%8E%8B%E5%85%AC%E5%9B%AD-%E9%BC%93%E5%B2%AD%E6%A0%88%E9%81%93%E6%AD%A5%E9%81%93%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/images/search?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B2%AD%E6%9F%B3%E6%9D%89%E7%8E%8B%E5%85%AC%E5%9B%AD-%E9%BC%93%E5%B2%AD%E6%A0%88%E9%81%93%E6%AD%A5%E9%81%93%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/search?q=%E7%A6%8F%E5%B7%9E%20%E9%BC%93%E5%B2%AD%E6%9F%B3%E6%9D%89%E7%8E%8B%E5%85%AC%E5%9B%AD-%E9%BC%93%E5%B2%AD%E6%A0%88%E9%81%93%E6%AD%A5%E9%81%93%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF%20%E6%B8%B8%E8%AE%B0%20%E6%91%84%E5%BD%B1%20%E4%BD%9C%E8%80%85%20%E6%8E%88%E6%9D%83,候选线索，未入站；上线前逐张核验授权、署名、地点匹配。
FZ008,闽侯 五虎山-五灵岩寺往返,闽侯县,名山|寺庙|训练,福州 五虎山-五灵岩寺往返 徒步 风景,优先找寺庙入口、古道石阶、山林和远眺城市组合图。,真实授权照片 > Wikimedia Commons 地标/古道图 > 官方文旅授权 > 普通搜索仅作联系作者线索,,,,,,https://commons.wikimedia.org/w/index.php?search=%E7%A6%8F%E5%B7%9E%20%E4%BA%94%E8%99%8E%E5%B1%B1-%E4%BA%94%E7%81%B5%E5%B2%A9%E5%AF%BA%E5%BE%80%E8%BF%94%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF&title=Special:MediaSearch&type=image,https://openverse.org/search/image?q=%E7%A6%8F%E5%B7%9E%20%E4%BA%94%E8%99%8E%E5%B1%B1-%E4%BA%94%E7%81%B5%E5%B2%A9%E5%AF%BA%E5%BE%80%E8%BF%94%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/images/search?q=%E7%A6%8F%E5%B7%9E%20%E4%BA%94%E8%99%8E%E5%B1%B1-%E4%BA%94%E7%81%B5%E5%B2%A9%E5%AF%BA%E5%BE%80%E8%BF%94%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF,https://www.bing.com/search?q=%E7%A6%8F%E5%B7%9E%20%E4%BA%94%E8%99%8E%E5%B1%B1-%E4%BA%94%E7%81%B5%E5%B2%A9%E5%AF%BA%E5%BE%80%E8%BF%94%20%E5%BE%92%E6%AD%A5%20%E9%A3%8E%E6%99%AF%20%E6%B8%B8%E8%AE%B0%20%E6%91%84%E5%BD%B1%20%E4%BD%9C%E8%80%85%20%E6%8E%88%E6%9D%83,候选线索，未入站；上线前逐张核验授权、署名、地点匹配。
