id,name,region,type,difficulty,distance,time,ascent,transit,transitFriendly,themes,audience,score,highlight,summary,warning,verify,lat,lng,locationAccuracy,status,updatedAt,color,startPoint,endPoint,parking,publicTransit,toilet,supply,exitPoints,bestSeason,routeStatus,publicStatus,dataOwner,sourceType,reviewNote
FZ033,晋安 龙门-般若苑-涌泉寺-鼓山古道,晋安区,古道徒步,中等,8.96,3.27,564,待补充,false,古道|历史人文|寺庙,新手进阶|半日|摄影,95,晋安 龙门-般若苑-涌泉寺-鼓山古道，由轨迹文件自动导入，适合作为候选路线复核。,轨迹距离约8.96km，累计爬升约564m，质量评分95。正式发布前需人工复核。,该路线由外部轨迹导入，开放状态、路况、风险点、交通和补给尚未复核。,起点、终点、停车、公交、厕所、补给、下撤点、轨迹授权和实地路况,26.032505,119.404666,轨迹起点坐标，待复核,轨迹导入待复核,2026-06-20,#6f9f7b,快安派出所龙门村治安岗,鼓山旅游景区缆车,待补充,待补充,待补充,建议自备饮水和路餐，补给待复核,待补充,全年|避开极端天气,轨迹导入待复核,待复核,山迹导入工具,两步路|轨迹导入,来源作者：刘家有两千金；来源授权：待确认；海拔低值可能有噪声；起终点名称与坐标需人工复核。
FZ034,福清 福川古道-榕树王-台岭村-西溪水库环线,福清市,徒步路线,较难,14.9,5.06,646,待补充,false,观景|环线,进阶|摄影,100,福清 福川古道-榕树王-台岭村-西溪水库环线，由轨迹文件自动导入，适合作为候选路线复核。,轨迹距离约14.9km，累计爬升约646m，质量评分100。正式发布前需人工复核。,该路线由外部轨迹导入，开放状态、路况、风险点、交通和补给尚未复核。,起点、终点、停车、公交、厕所、补给、下撤点、轨迹授权和实地路况,25.781802,119.358629,轨迹起点坐标，待复核,轨迹导入待复核,2026-06-20,#6f9f7b,福州市福清市,福州市福清市,待补充,待补充,待补充,建议自备饮水和路餐，补给待复核,待补充,全年|避开极端天气,轨迹导入待复核,待复核,山迹导入工具,两步路|轨迹导入,来源作者：wuli自在行走的花；来源授权：待确认；需人工复核起终点、停车、开放状态和风险点。
FZ035,闽侯 仁洲村-三叠井圈越,福州周边,徒步路线,较难,12.26,6.54,992,待补充,false,观景|环线,进阶|摄影,80,闽侯 仁洲村-三叠井圈越，由轨迹文件自动导入，适合作为候选路线复核。,轨迹距离约12.26km，累计爬升约992m，质量评分80。正式发布前需人工复核。,该路线由外部轨迹导入，开放状态、路况、风险点、交通和补给尚未复核。,起点、终点、停车、公交、厕所、补给、下撤点、轨迹授权和实地路况,26.239468,119.164515,轨迹起点坐标，待复核,轨迹导入待复核,2026-06-20,#6f9f7b,仁洲村委(公交站),仁洲村委(公交站),待补充,待补充,待补充,建议自备饮水和路餐，补给待复核,待补充,全年|避开极端天气,轨迹导入待复核,待复核,山迹导入工具,KML|轨迹导入,来源作者：郑在爬；来源授权：待确认；需人工复核起终点、停车、开放状态和风险点。
FZ036,晋安 状元岭古道-状元坊-象峰古道环线,晋安区,古道徒步,中等,6.75,1.93,679,待补充,false,古道|历史人文|环线,进阶|摄影,100,晋安 状元岭古道-状元坊-象峰古道环线，由轨迹文件自动导入，适合作为候选路线复核。,轨迹距离约6.75km，累计爬升约679m，质量评分100。正式发布前需人工复核。,该路线由外部轨迹导入，开放状态、路况、风险点、交通和补给尚未复核。,起点、终点、停车、公交、厕所、补给、下撤点、轨迹授权和实地路况,26.153645,119.328832,轨迹起点坐标，待复核,轨迹导入待复核,2026-06-20,#6f9f7b,天母殿,闾山大法院,待补充,待补充,待补充,建议自备饮水和路餐，补给待复核,待补充,全年|避开极端天气,轨迹导入待复核,待复核,山迹导入工具,KML|轨迹导入,来源作者：仰望星空3539；来源授权：待确认；需人工复核起终点、停车、开放状态和风险点。
FZ037,晋安 白云洞-涌泉寺-鼓山十八景穿越,福州周边,徒步路线,中等,10.87,4.39,628,待补充,false,森林|避暑,进阶|摄影,80,晋安 白云洞-涌泉寺-鼓山十八景穿越，由轨迹文件自动导入，适合作为候选路线复核。,轨迹距离约10.87km，累计爬升约628m，质量评分80。正式发布前需人工复核。,该路线由外部轨迹导入，开放状态、路况、风险点、交通和补给尚未复核。,起点、终点、停车、公交、厕所、补给、下撤点、轨迹授权和实地路况,25.999269,119.516099,轨迹起点坐标，待复核,轨迹导入待复核,2026-06-20,#6f9f7b,芦际潭森林公园停车点,福州市长乐区,待补充,待补充,待补充,建议自备饮水和路餐，补给待复核,待补充,春季|夏季|秋季,轨迹导入待复核,待复核,山迹导入工具,两步路|轨迹导入,来源作者：山痴踏岳。；来源授权：待确认；需人工复核起终点、停车、开放状态和风险点。
FZ038,鼓楼 福道7号口往返线,闽侯县,徒步路线,较难,13.78,5.65,989,待补充,false,观景|环线,进阶|摄影,85,鼓楼 福道7号口往返线，由轨迹文件自动导入，适合作为候选路线复核。,轨迹距离约13.78km，累计爬升约989m，质量评分85。正式发布前需人工复核。,该路线由外部轨迹导入，开放状态、路况、风险点、交通和补给尚未复核。,起点、终点、停车、公交、厕所、补给、下撤点、轨迹授权和实地路况,25.921121,119.329779,轨迹起点坐标，待复核,轨迹导入待复核,2026-06-20,#6f9f7b,五虎山国家森林公园游客驿站,五虎山国家森林公园游客驿站,待补充,待补充,待补充,建议自备饮水和路餐，补给待复核,待补充,全年|避开极端天气,轨迹导入待复核,待复核,山迹导入工具,两步路|轨迹导入,来源作者：冰鳍；来源授权：待确认；需人工复核起终点、停车、开放状态和风险点。
FZ039,长乐 芦际潭森林公园圈越,福州周边,古道徒步,较难,10.89,3.31,955,待补充,false,古道|历史人文|环线,进阶|摄影,80,长乐 芦际潭森林公园圈越，由轨迹文件自动导入，适合作为候选路线复核。,轨迹距离约10.89km，累计爬升约955m，质量评分80。正式发布前需人工复核。,该路线由外部轨迹导入，开放状态、路况、风险点、交通和补给尚未复核。,起点、终点、停车、公交、厕所、补给、下撤点、轨迹授权和实地路况,26.150732,119.334922,轨迹起点坐标，待复核,轨迹导入待复核,2026-06-20,#6f9f7b,福州恒一高级中学(西门),福州恒一高级中学(西门),待补充,待补充,待补充,建议自备饮水和路餐，补给待复核,待补充,全年|避开极端天气,轨迹导入待复核,待复核,山迹导入工具,KML|轨迹导入,来源作者：仰望星空3539；来源授权：待确认；需人工复核起终点、停车、开放状态和风险点。
FZ040,晋安 鼓岭古道-映月湖-柱里-柳杉王公园穿越,晋安区,徒步路线,较难,10.72,0.0,1002,待补充,false,观景,进阶|摄影,95,晋安 鼓岭古道-映月湖-柱里-柳杉王公园穿越，由轨迹文件自动导入，适合作为候选路线复核。,轨迹距离约10.72km，累计爬升约1002m，质量评分95。正式发布前需人工复核。,该路线由外部轨迹导入，开放状态、路况、风险点、交通和补给尚未复核。,起点、终点、停车、公交、厕所、补给、下撤点、轨迹授权和实地路况,26.074155,119.368066,轨迹起点坐标，待复核,轨迹导入待复核,2026-06-20,#6f9f7b,待补充,待补充,待补充,待补充,待补充,建议自备饮水和路餐，补给待复核,待补充,全年|避开极端天气,轨迹导入待复核,待复核,山迹导入工具,KML|轨迹导入,来源作者：；来源授权：待确认；需人工复核起终点、停车、开放状态和风险点。
FZ041,晋安 鼓山勇敢者登山道-涌泉寺登山线,马尾区,徒步路线,较难,7.73,4.22,955,待补充,false,观景|环线,进阶|摄影,85,晋安 鼓山勇敢者登山道-涌泉寺登山线，由轨迹文件自动导入，适合作为候选路线复核。,轨迹距离约7.73km，累计爬升约955m，质量评分85。正式发布前需人工复核。,该路线由外部轨迹导入，开放状态、路况、风险点、交通和补给尚未复核。,起点、终点、停车、公交、厕所、补给、下撤点、轨迹授权和实地路况,26.009652,119.447476,轨迹起点坐标，待复核,轨迹导入待复核,2026-06-20,#6f9f7b,阳光学院(北门),杏会奶茶,待补充,待补充,待补充,建议自备饮水和路餐，补给待复核,待补充,全年|避开极端天气,轨迹导入待复核,待复核,山迹导入工具,KML|轨迹导入,来源作者：仰望星空3539；来源授权：待确认；需人工复核起终点、停车、开放状态和风险点。
FZ042,闽侯 五虎山圈越,福州周边,古道徒步,较难,12.71,6.06,1316,待补充,false,古道|历史人文|环线,进阶|摄影,95,闽侯 五虎山圈越，由轨迹文件自动导入，适合作为候选路线复核。,轨迹距离约12.71km，累计爬升约1316m，质量评分95。正式发布前需人工复核。,该路线由外部轨迹导入，开放状态、路况、风险点、交通和补给尚未复核。,起点、终点、停车、公交、厕所、补给、下撤点、轨迹授权和实地路况,26.001172,119.166765,轨迹起点坐标，待复核,轨迹导入待复核,2026-06-20,#6f9f7b,竹楼山庄,吴厝里,待补充,待补充,待补充,建议自备饮水和路餐，补给待复核,待补充,全年|避开极端天气,轨迹导入待复核,待复核,山迹导入工具,KML|轨迹导入,来源作者：郑在爬；来源授权：待确认；需人工复核起终点、停车、开放状态和风险点。
FZ043,福州 贡院岭古道-鹅鼻岭-泉头古道环线,马尾区,徒步路线,中等,5.7,3.84,469,待补充,false,观景|环线,新手进阶|半日|摄影,85,福州 贡院岭古道-鹅鼻岭-泉头古道环线，由轨迹文件自动导入，适合作为候选路线复核。,轨迹距离约5.7km，累计爬升约469m，质量评分85。正式发布前需人工复核。,该路线由外部轨迹导入，开放状态、路况、风险点、交通和补给尚未复核。,起点、终点、停车、公交、厕所、补给、下撤点、轨迹授权和实地路况,26.027328,119.420747,轨迹起点坐标，待复核,轨迹导入待复核,2026-06-20,#6f9f7b,快安派出所,马尾区消防大队快安中队,待补充,待补充,待补充,建议自备饮水和路餐，补给待复核,待补充,全年|避开极端天气,轨迹导入待复核,待复核,山迹导入工具,两步路|轨迹导入,来源作者：米苏的户外迹忆；来源授权：待确认；需人工复核起终点、停车、开放状态和风险点。
