id,name,region,type,difficulty,distance,time,ascent,transit,transitFriendly,themes,audience,score,highlight,summary,warning,verify,lat,lng,locationAccuracy,status,updatedAt,color,startPoint,endPoint,parking,publicTransit,toilet,supply,exitPoints,bestSeason,routeStatus,publicStatus,dataOwner,sourceType,reviewNote
FZ001,鼓楼 福道精华步道,鼓楼区,城市森林步道,轻松,5.8,2,180,公交/打车,true,城市森林|栈道|亲子,新手|亲子|游客,98,不用出城就能走的标志性城市森林步道，适合第一次体验。,适合用作网站的新手样板路线：路况清楚、出口较多、观景点密集，用户容易理解路线价值。,周末人流较大，雨天栈道可能湿滑，恐高人群需谨慎。,入口、开放时间、不同出口交通,26.095,119.278,近似点位，待复核,资料已整理,2026-06-19,#7fb27a,鼓楼区 · 福道精华步道附近,鼓楼区 · 原路/环线返回,周边公共停车/路侧停车待确认,公交/打车,起终点周边厕所待确认,起终点周边补给待确认,起终点及中途可下撤点待复核,春季|夏季|秋季,资料已整理,可内测,山迹编辑,资料整理|待实地复核,V1.1 前仍按候选路线展示，正式出行前必须复核。
FZ002,鼓楼 福山-福道-冶山城市山线,鼓楼区,城市山地+人文,轻松,6.2,2.5,160,公交/地铁周边,true,城市森林|历史人文,新手|游客|摄影,89,把福道和城市历史节点串起来，适合做文化轻徒步专题。,路线更偏城市漫步和轻量登高，适合外地游客或周末低强度活动。,需要确认实际串联动线，避免城市道路段过长影响体验。,实际步行串联方式和耗时,26.095,119.305,近似点位，待复核,候选待复核,2026-06-19,#9dbf77,鼓楼区 · 福山附近,鼓楼区 · 冶山历史风貌区附近,周边公共停车/路侧停车待确认,公交/地铁周边,起终点周边厕所待确认,起终点周边补给待确认,起终点及中途可下撤点待复核,春季|夏季|秋季,候选待复核,可内测,山迹编辑,资料整理|待实地复核,V1.1 前仍按候选路线展示，正式出行前必须复核。
FZ003,晋安 鼓山登山道-涌泉寺登山线,晋安区,古道登山,中等,7.5,3.5,520,地铁+步行/打车,true,古道|寺庙|城市观景,新手进阶|半日|摄影,96,福州经典登高古道，交通方便，但台阶强度不低。,适合作为市区入门进阶路线。它的优势是识别度高、交通便利、文化景观密集。,雨后石阶湿滑，节假日人多，夏季闷热。,台阶强度、节假日人流、返程方式,26.07,119.395,近似点位，待复核,候选待复核,2026-06-19,#6ea36f,晋安区 · 鼓山登山道附近,晋安区 · 涌泉寺附近,周边公共停车/路侧停车待确认,地铁+步行/打车,起点厕所待确认，途中厕所不稳定,建议自备饮水和路餐,起终点及中途可下撤点待复核,全年|避开极端天气,候选待复核,可内测,山迹编辑,资料整理|待实地复核,V1.1 前仍按候选路线展示，正式出行前必须复核。
FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,晋安区,古道+观景,较难,11.5,5.5,780,地铁+公交/打车,true,古道|观景|训练,进阶|摄影,91,比普通鼓山线更完整，适合有一定体力的人做半日到一日训练。,这条线可以展示路线详情页的分段说明、风险提示和下撤信息，是原型里的进阶样板。,爬升明显，部分路段需确认开放和路况，不建议新手独行。,分段距离、爬升、白云顶开放状态,26.083,119.405,近似点位，待复核,候选待复核,2026-06-19,#8b7749,晋安区 · 鼓山附近,晋安区 · 白云顶附近,周边公共停车/路侧停车待确认,地铁+公交/打车,起点厕所待确认，途中厕所不稳定,建议自备饮水和路餐,需补充至少2个下撤点,全年|避开极端天气,候选待复核,待复核,山迹编辑,资料整理|待实地复核,V1.1 前仍按候选路线展示，正式出行前必须复核。
FZ005,晋安 鼓山白云洞-凤池白云洞登山线,晋安区,登山观景,较难,9.2,4.5,720,公交/打车,false,观景|寺庙|训练,进阶|摄影,80,观景和登山属性强，适合做进阶路线内容。,路线需要更严格核验，适合展示网站对高强度路线的安全边界表达。,台阶多、体力要求较高，雨后和夜间不建议尝试。,台阶数量、路况、是否适合下山,26.08,119.39,近似点位，待复核,候选待复核,2026-06-19,#8d5f45,晋安区 · 鼓山白云洞-凤池白云洞登山线附近,晋安区 · 原路/环线返回,起点停车条件待确认,公交/打车,起点厕所待确认，途中厕所不稳定,建议自备饮水和路餐,需补充至少2个下撤点,全年|避开极端天气,候选待复核,待复核,山迹编辑,资料整理|待实地复核,V1.1 前仍按候选路线展示，正式出行前必须复核。
FZ006,晋安 鼓山-鼓岭古道穿越,晋安区,古道+避暑,较难,13.5,6,900,公交/接驳,false,古道|避暑|历史人文,进阶|游客,88,兼具古道、人文和夏季避暑价值，是鼓岭方向的核心候选线。,适合做鼓山鼓岭专题的核心路线，但正式发布前要细化起终点和交通。,耗时较长，返程接驳需要提前计划。,具体起终点、接驳交通、耗时,26.128,119.43,近似点位，待复核,候选待复核,2026-06-19,#4d8b6f,晋安区 · 鼓山附近,晋安区 · 鼓岭古道附近,起点停车条件待确认,公交/接驳,起点厕所待确认，途中厕所不稳定,建议自备饮水和路餐,需补充至少2个下撤点,春季|夏季|秋季,候选待复核,待复核,山迹编辑,资料整理|待实地复核,V1.1 前仍按候选路线展示，正式出行前必须复核。
FZ007,晋安 鼓岭柳杉王公园-鼓岭栈道步道,晋安区,避暑轻徒步,轻松,5.6,2.2,180,公交/自驾,true,森林|避暑|亲子,新手|亲子|游客,92,夏季避暑、亲子和游客都容易理解的轻徒步选择。,适合作为夏季专题入口，强度不高但交通和停车信息要写清楚。,山上天气变化快，节假日停车和接驳需提前确认。,景区交通、开放时间、停车,26.132,119.425,近似点位，待复核,候选待复核,2026-06-19,#5f9e78,晋安区 · 鼓岭柳杉王公园附近,晋安区 · 鼓岭栈道附近,周边公共停车/路侧停车待确认,公交/自驾,起终点周边厕所待确认,起终点周边补给待确认,起终点及中途可下撤点待复核,春季|夏季|秋季,候选待复核,可内测,山迹编辑,资料整理|待实地复核,V1.1 前仍按候选路线展示，正式出行前必须复核。
FZ008,闽侯 五虎山-五灵岩寺往返,闽侯县,郊野登山,中等,8.4,4,560,自驾/打车,false,名山|寺庙|训练,新手进阶|进阶,84,山体辨识度高，适合作为闽侯方向的登山样板。,适合有一定体力的周末登山用户，正式发布时要确认停车和折返点。,部分路段暴晒，雨后土路和石阶需注意防滑。,起点停车、步道状态、折返节点,25.94,119.225,近似点位，待复核,候选待复核,2026-06-19,#94734c,闽侯县 · 五虎山附近,闽侯县 · 五灵岩寺附近,起点停车条件待确认,自驾/打车,起点厕所待确认，途中厕所不稳定,建议自备饮水和路餐,起终点及中途可下撤点待复核,全年|避开极端天气,候选待复核,待复核,山迹编辑,资料整理|待实地复核,V1.1 前仍按候选路线展示，正式出行前必须复核。
FZ009,闽侯 五虎山-龙祥岛-旗山湖组合线,闽侯县,山岛湖串联,中等,12,5.5,480,自驾/接驳,false,名山|湖景|亲水,进阶|游客,78,适合做闽侯山岛湖专题，兼具登山和游览属性。,更像目的地串联路线，网站里需要区分徒步段和游览段。,点位串联可能依赖车辆接驳，不应直接宣传为纯徒步线。,串联是否适合步行、交通接驳,25.955,119.205,近似点位，待复核,候选待复核,2026-06-19,#608ba4,闽侯县 · 五虎山附近,闽侯县 · 旗山湖附近,起点停车条件待确认,自驾/接驳,起点厕所待确认，途中厕所不稳定,建议自备饮水和路餐,起终点及中途可下撤点待复核,全年|避开极端天气,候选待复核,待复核,山迹编辑,资料整理|待实地复核,V1.1 前仍按候选路线展示，正式出行前必须复核。
FZ010,闽侯 旗山-万佛寺-博思软件园穿越,闽侯县/高新区,名山+古刹,中等,10.8,5,620,自驾/公交部分可达,false,名山|寺庙|森林,新手进阶|进阶,82,名山、古刹和产业园区形成多元路线主题。,适合在原型里测试复杂路线的标签和专题归类。,需要确认实际徒步段比例，避免城市道路段过多。,实际徒步段和城市道路占比,26.02,119.165,近似点位，待复核,候选待复核,2026-06-19,#7f9d68,闽侯县 · 旗山附近,闽侯县 · 博思软件园附近,起点停车条件待确认,自驾/公交部分可达,起点厕所待确认，途中厕所不稳定,建议自备饮水和路餐,起终点及中途可下撤点待复核,春季|夏季|秋季,候选待复核,待复核,山迹编辑,资料整理|待实地复核,V1.1 前仍按候选路线展示，正式出行前必须复核。
