track_id,track_name,track_file,route_id,route_name,association_status,confidence,distance_km,ascent_m,author,license_status,review_note
REF001,2025-10-12 09:17莆田瑞云山,./content/tracks/REF001.kml,,,未关联，跨区参考,不关联,7.46,688,海狼王,待确认,莆田瑞云山属于福州周边/跨区参考，暂不挂到现有福州线路。
FZ001,鼓楼 福道精华步道,./content/tracks/FZ001.kml,FZ001,鼓楼 福道精华步道,已关联现有线路,高,6.1,429,Belibala,待确认,名称命中福道；距离接近，适合替换测试 GPX。
FZ003,晋安 鼓山登山道-涌泉寺登山线,./content/tracks/FZ003.kml,FZ003,晋安 鼓山登山道-涌泉寺登山线,已关联现有线路,高,5.15,630,乾步步,待确认,名称命中鼓山、登山道、涌泉寺；适合替换测试 GPX。
FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,./content/tracks/FZ004.kml,FZ004,晋安 鼓山-十八景-喝水岩-白云顶穿越,已关联现有线路,高,8.16,877,乾步步,待确认,名称命中白云洞、涌泉寺、鼓山十八景；可作为鼓山十八景穿越候选轨迹。
FZ006,晋安 鼓山-鼓岭古道穿越,./content/tracks/FZ006.kml,FZ006,晋安 鼓山-鼓岭古道穿越,已关联现有线路,高,12.61,1280,小条条,待确认,名称命中樟林古道、柳杉王公园、鼓岭古道；可作为鼓山-鼓岭方向候选轨迹。
FZ010,闽侯 旗山-万佛寺-博思软件园穿越,./content/tracks/FZ010.kml,FZ010,闽侯 旗山-万佛寺-博思软件园穿越,已关联现有线路,高,11.85,1171,zs_0616135,待确认,名称命中旗山、万佛寺、旗山顶；可作为旗山方向候选轨迹。
FZ024,福清 大姆山草场环线,./content/tracks/FZ024.kml,FZ024,福清 大姆山草场环线,已关联现有线路,高,9.87,720,牙医の先生,待确认,名称命中大姆山草场；距离接近，适合作为大姆山草场候选轨迹。
FZ031,晋安 状元岭古道-小北岭古道环线,./content/tracks/FZ031.kml,FZ031,晋安 状元岭古道-小北岭古道环线,已关联现有线路,高,9.12,560,刘家有两千金,待确认,文件名/线路名与现有线路一致，页面已按 routeId 展示轨迹；仍需确认授权和实地路况。
FZ032,平潭 大练岛环线,./content/tracks/FZ032.kml,FZ032,平潭 大练岛环线,已关联现有线路,高,13.98,457,旅行者99,待确认,文件名/线路名与现有线路一致，页面已按 routeId 展示轨迹；仍需确认授权和实地路况。
FZ033,晋安 龙门-般若苑-涌泉寺-鼓山古道,./content/tracks/FZ033.kml,FZ033,晋安 龙门-般若苑-涌泉寺-鼓山古道,已作为新增候选路线导入,高,8.96,564,刘家有两千金,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ034,福清 福川古道-榕树王-台岭村-西溪水库环线,./content/tracks/FZ034.kml,FZ034,福清 福川古道-榕树王-台岭村-西溪水库环线,已作为新增候选路线导入,高,14.9,646,wuli自在行走的花,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ035,闽侯 仁洲村-三叠井圈越,./content/tracks/FZ035.kml,FZ035,闽侯 仁洲村-三叠井圈越,已作为新增候选路线导入,高,12.26,992,郑在爬,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ036,晋安 状元岭古道-状元坊-象峰古道环线,./content/tracks/FZ036.kml,FZ036,晋安 状元岭古道-状元坊-象峰古道环线,已作为新增候选路线导入,高,6.75,679,仰望星空3539,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
